Date,Time,Duration,Duration (seconds),OS,CPU,RAM,Vertical Power,Divisions,Limit,Border Regions,VisitedRegion Nodes,VisitedRegion Leaf %,VisitedRegion LeafQuad %,VisitedRegion Branch %,RegionLookup Nodes,Deduplicated Size,Notes
2022-12-07,4:02:47,"43 minutes, 58 seconds","2,638",macOS (13.0.1),Apple M1 Max 10 Cores,32 GB,16,"65,536","5,000,000","1,130,138","22,151,249",,,,"5,630,141",25%,"4x4 corners, 2x2 centers"
2022-12-07,15:58:27,"29 minutes, 31 seconds","1,772",Microsoft Windows 10 Pro (10.0.19045),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,16,"65,536","5,000,000","1,130,138","22,151,249",,,,"5,630,141",25%,"4x4 corners, 2x2 centers"
2022-12-07,18:47:48,"1 hour, 49 minutes","6,550",Microsoft Windows 10 Pro (10.0.19045),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,17,"131,072","5,000,000","2,739,961","73,633,001",,,,"17,301,061",23%,"4x4 corners, 2x2 centers"
2022-12-10,14:22:58,"5 hours, 34 minutes","20,041",macOS (13.0.1),Apple M1 Max 10 Cores,32 GB,18,"262,144","1,000,000","6,631,127","247,307,569",,,,"54,501,429",22%,"4x4 corners, 2x2 centers"
2022-12-12,20:18:42,"3 hours, 51 minutes","13,881",Microsoft Windows 10 Pro (10.0.19045),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,18,"262,144","1,000,000","6,631,127","247,307,569",,,,"54,501,429",22%,Same code version as Mac
2022-12-16,23:04:26,"5 hours, 25 minutes","19,532",macOS (13.1),Apple M1 Max 10 Cores,32 GB,18,"262,144","1,000,000","6,631,127","247,307,569",,,,"52,412,437",21%,After quad tree split
2022-12-17,17:29:21,"17 hours, 44 minutes","63,882",macOS (13.1),Apple M1 Max 10 Cores,32 GB,19,"524,288","1,000,000","16,055,471","835,671,901",,,,"166,247,033",20%,Is this even possible?
2022-12-23,22:47:48,"6 hours, 7 minutes","22,058",Microsoft Windows 10 Pro (10.0.19045),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,19,"524,288","100,000","16,373,789","835,355,317",,,,"166,522,265",20%,Windows
2022-12-27,23:53:35,"1 hour, 47 minutes","6,442",Microsoft Windows 10 Pro (10.0.19045),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,18,"262,144","100,000","6,611,430","247,211,973",,,,"52,459,361",21%,For diff purposes
2023-01-08,16:50:07,"2 minutes, 18 seconds",139,macOS (13.1),Apple M1 Max 10 Cores,32 GB,14,"16,384","1,000,000","192,546","2,094,493",,,,"643,885",31%,Baseline before 4x filament check
2023-01-08,17:16:30,"2 minutes, 7 seconds",128,macOS (13.1),Apple M1 Max 10 Cores,32 GB,14,"16,384","1,000,000","194,931","2,094,573",,,,"644,477",31%,Filament check can produce boundaries
2023-01-09,10:11:14,"1 minute, 30 seconds",91,Microsoft Windows 10 Pro (10.0.19045),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,14,"16,384","1,000,000","192,546","2,094,493",,,,"643,885",31%,Baseline
2023-01-09,10:14:46,"1 minute, 27 seconds",88,Microsoft Windows 10 Pro (10.0.19045),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,14,"16,384","1,000,000","194,931","2,094,573",,,,"644,477",31%,Filaments can find boundaries
2023-01-09,13:21:56,"1 minute, 24 seconds",85,Microsoft Windows 10 Pro (10.0.19045),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,14,"16,384","1,000,000","194,931","2,094,573",,,,"644,477",31%,Use enum instead of RegionCorners
2023-01-09,13:51:25,"1 minute, 44 seconds",105,Microsoft Windows 10 Pro (10.0.19045),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,14,"16,384","1,000,000","194,545","2,233,721",,,,"651,557",29%,Check 4x for filaments
2023-01-09,21:44:36,"2 minutes, 20 seconds",140,macOS (13.1),Apple M1 Max 10 Cores,32 GB,14,"16,384","1,000,000","194,545","2,233,721",,,,"651,557",29%,4x check on Mac
2023-02-25,14:57:40,"22 minutes, 22 seconds","1,342",Microsoft Windows 10 Pro (10.0.19045),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,16,"65,536","1,000,000","1,141,537","23,480,913",,,,"5,470,357",23%,Baseline
2023-02-25,15:41:18,"41 minutes, 51 seconds","2,512",Microsoft Windows 10 Pro (10.0.19045),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,16,"65,536","1,000,000","1,205,860","23,901,265",,,,"5,304,073",22%,Internal 4
2023-12-07,23:39:24,"1 minute, 50 seconds",110,macOS (14.1.2),Apple M1 Max 10 Cores,32 GB,14,"16,384","1,000,000","194,545","2,233,721",,,,"651,557",29%,.NET 8
2023-12-08,16:41:35,"16 hours, 58 minutes","61,097",macOS (14.1.2),Apple M1 Max 10 Cores,32 GB,19,"524,288","1,000,000","16,269,253","880,883,949",,,,"163,350,025",19%,.NET 8 Stress Test
2024-11-17,17:01:59,"1 minute, 49 seconds",110,macOS (15.1),Apple M1 Max 10 Cores,32 GB,14,"16,384","1,000,000","194,545","2,233,721",,,,"651,557",29%,.NET 9
2025-04-19,12:23:22,"13 seconds, 839 milliseconds",14,macOS (15.4),Apple M1 Max 10 Cores,32 GB,12,"4,096","5,000,000","33,428","228,537",,,,"95,049",42%,Before checking from both ends
2025-04-19,12:24:11,"7 seconds, 772 milliseconds",8,macOS (15.4),Apple M1 Max 10 Cores,32 GB,12,"4,096","5,000,000","33,428","228,537",,,,"95,049",42%,Checking from both ends
2025-04-19,18:06:28,"7 seconds, 586 milliseconds",8,macOS (15.4),"Apple M1 Max 8 Cores,Apple M1 Max 2 Cores",32 GB,12,"4,096","5,000,000","33,428","228,537",,,,"95,049",42%,Made Visit return a bool
2025-04-20,18:31:24,"7 seconds, 640 milliseconds",8,macOS (15.4.1),"Apple M1 Max 8 Cores,Apple M1 Max 2 Cores",32 GB,12,"4,096","5,000,000","33,428","228,537",,,,"95,049",42%,Avoid arrays in classifier
2025-04-21,11:09:42,"7 seconds, 995 milliseconds",8,Microsoft Windows 11 Enterprise (10.0.26100),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,12,"4,096","5,000,000","33,428","228,537",,,,"95,049",42%,Both ends on Windows (highly variable times!)
2025-04-21,14:08:39,"14 hours, 12 minutes","51,128",macOS (15.4.1),"Apple M1 Max 8 Cores,Apple M1 Max 2 Cores",32 GB,19,"524,288","5,000,000","16,335,157","880,929,313",,,,"163,359,553",19%,Updated crusher
2025-04-21,22:52:16,"6 seconds, 45 milliseconds",6,macOS (15.4.1),"Apple M1 Max 8 Cores,Apple M1 Max 2 Cores",32 GB,12,"4,096","5,000,000","33,428","228,537",,,,"95,049",42%,Larger corner batch cache
2025-04-22,14:44:56,"5 seconds, 992 milliseconds",6,Microsoft Windows 11 Enterprise (10.0.26100),AMD Ryzen 7 PRO 5850U with Radeon Graphics 1.90 GHz 8 Cores,27.83 GB,12,"4,096","5,000,000","33,428","228,537",,,,"95,049",42%,Same test on Windows
2025-05-13,21:46:07,"4 seconds, 747 milliseconds",5,Microsoft Windows 11 Pro (10.0.26100),Intel(R) Core(TM) Ultra 7 155H 1.40 GHz 16 Cores,63.51 GB,12,"4,096","5,000,000","33,428","228,537",,,,"95,049",42%,New work machine
2025-05-13,21:48:08,"24 seconds, 213 milliseconds",24,Microsoft Windows 11 Pro (10.0.26100),Intel(R) Core(TM) Ultra 7 155H 1.40 GHz 16 Cores,63.51 GB,14,"16,384","1,000,000","194,545","2,233,721",,,,"651,557",29%,New work machine
2025-05-28,20:43:38,"7 minutes, 11 seconds",431,macOS (15.5),"Apple M1 Max 8 Cores,Apple M1 Max 2 Cores",32 GB,16,"65,536","1,000,000","1,141,537","23,480,913",,,,"5,470,357",23%,Last M1 benchmark
2025-05-28,23:27:59,"4 minutes, 38 seconds",279,macOS (15.5),"Apple M4 Max 12 Cores,Apple M4 Max 4 Cores",48 GB,16,"65,536","1,000,000","1,141,537","23,480,913",,,,"5,470,357",23%,First M4
2025-05-30,10:20:32,"4 minutes, 59 seconds",299,Microsoft Windows 11 Enterprise (10.0.26100),Intel(R) Core(TM) Ultra 7 155H 1.40 GHz 16 Cores,63.51 GB,16,"65,536","1,000,000","1,141,537","23,480,913",,,,"5,470,357",23%,Same test on Win
2025-07-27,10:56:03,"4 minutes, 56 seconds",297,Microsoft Windows 11 Enterprise (10.0.26100),Intel(R) Core(TM) Ultra 7 155H 1.40 GHz 16 Cores,63.51 GB,16,"65,536","1,000,000","1,142,384","23,915,173",,,,"5,218,925",22%,ParallelHelper in CornerFirstRegionClassifier CheckRegionForFilaments (also tweaked DEM)
2025-07-27,11:12:25,"3 minutes, 15 seconds",196,Microsoft Windows 11 Enterprise (10.0.26100),Intel(R) Core(TM) Ultra 7 155H 1.40 GHz 16 Cores,63.51 GB,16,"65,536","1,000,000","1,156,841","23,762,909",,,,"5,005,753",21%,Trying with just checking one point in interior
2025-07-27,13:10:16,"3 minutes, 16 seconds",197,Microsoft Windows 11 Enterprise (10.0.26100),Intel(R) Core(TM) Ultra 7 155H 1.40 GHz 16 Cores,63.51 GB,16,"65,536","1,000,000","1,156,841","23,762,909",,,,"5,005,753",21%,Minor tweaks to VisitedRegions.HasVisited
2025-07-27,13:21:40,"3 minutes, 14 seconds",195,Microsoft Windows 11 Enterprise (10.0.26100),Intel(R) Core(TM) Ultra 7 155H 1.40 GHz 16 Cores,63.51 GB,16,"65,536","1,000,000","1,156,841","23,762,909",,,,"5,005,753",21%,Inlining methods
2025-07-29,22:14:14,"2 minutes, 52 seconds",173,macOS (15.5),"Apple M4 Max 12 Cores,Apple M4 Max 4 Cores",48 GB,16,"65,536","1,000,000","1,156,841","23,762,909",,,,"5,005,753",21%,M4 after optimizations
2025-08-24,11:42:21,"15 seconds, 9 milliseconds",15,macOS (15.6),"Apple M4 Max 12 Cores,Apple M4 Max 4 Cores",48 GB,14,"16,384","1,000,000","196,954","2,258,357",14.0%,61.0%,25.0%,"602,433",27%,Capturing more metrics about visit nodes
2025-08-29,13:29:50,"4 hours, 23 minutes","15,839",macOS (15.6.1),"Apple M4 Max 12 Cores,Apple M4 Max 4 Cores",48 GB,19,"524,288","10,000,000","16,592,796","888,541,009",10.4%,64.6%,25.0%,"136,903,021",15%,Megacrusher - final?
